run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
4,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01182567960781708
6,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.05327939042950669
2,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00415419231200415
9,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9926487623521436
7,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2782111988213627
3,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00976576060497543
10,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9928142427042812
1,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00893002238274399
8,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8042021852143797
5,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.08719137857146841
