run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
1,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00867538182126698
4,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.20893261488698817
2,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00719879630231406
10,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.993145768742412
8,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.508496028903641
6,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2297270752601265
9,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9950600278793084
5,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4038107638915075
7,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4420525080751524
3,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0061455568697395
12,0,TRUE,0.3,TRUE,reward,40,10,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00908480666359944
11,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9954157697888332
17,0,TRUE,0.3,TRUE,reward,40,45,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.17678414309839213
13,0,TRUE,0.3,TRUE,reward,40,20,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00996154236889882
15,0,TRUE,0.3,TRUE,reward,40,35,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.22326309379479176
19,0,TRUE,0.3,TRUE,reward,40,60,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8257739174203627
16,0,TRUE,0.3,TRUE,reward,40,40,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.05267772426309969
14,0,TRUE,0.3,TRUE,reward,40,30,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00737175795183027
18,0,TRUE,0.3,TRUE,reward,40,50,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.44551784670600647
22,0,TRUE,0.3,TRUE,reward,40,90,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9942085875153795
23,0,TRUE,0.3,TRUE,reward,40,10,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00324500702909312
24,0,TRUE,0.3,TRUE,reward,40,20,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00701648583704321
27,0,TRUE,0.3,TRUE,reward,40,40,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5999869038828656
25,0,TRUE,0.3,TRUE,reward,40,30,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00495982183331389
21,0,TRUE,0.3,TRUE,reward,40,80,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9934207123734726
26,0,TRUE,0.3,TRUE,reward,40,35,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00456168898056349
29,0,TRUE,0.3,TRUE,reward,40,50,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.47916966146691786
28,0,TRUE,0.3,TRUE,reward,40,45,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.08801657297703783
30,0,TRUE,0.3,TRUE,reward,40,60,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.6882923893474241
20,0,TRUE,0.3,TRUE,reward,40,70,1000,0.02,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.798643679418161
32,0,TRUE,0.3,TRUE,reward,40,80,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9948359590881456
33,0,TRUE,0.3,TRUE,reward,40,90,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9958716687606148
31,0,TRUE,0.3,TRUE,reward,40,70,1000,0.03,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.912709141268956
35,0,TRUE,0.3,TRUE,reward,40,20,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00263794687032983
37,0,TRUE,0.3,TRUE,reward,40,35,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00640420168402401
34,0,TRUE,0.3,TRUE,reward,40,10,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00254149405608847
36,0,TRUE,0.3,TRUE,reward,40,30,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00141149794412274
38,0,TRUE,0.3,TRUE,reward,40,40,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.02119779019231025
41,0,TRUE,0.3,TRUE,reward,40,60,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8394681350691522
39,0,TRUE,0.3,TRUE,reward,40,45,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.16091762266725
42,0,TRUE,0.3,TRUE,reward,40,70,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9898817930276322
48,0,TRUE,0.3,TRUE,reward,40,35,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00531960237195213
43,0,TRUE,0.3,TRUE,reward,40,80,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9875098293730328
46,0,TRUE,0.3,TRUE,reward,40,20,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0016510213384958
47,0,TRUE,0.3,TRUE,reward,40,30,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.12387655341418206
44,0,TRUE,0.3,TRUE,reward,40,90,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.991170545929563
45,0,TRUE,0.3,TRUE,reward,40,10,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00465941227580148
40,0,TRUE,0.3,TRUE,reward,40,50,1000,0.04,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8479430333655463
50,0,TRUE,0.3,TRUE,reward,40,45,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.3454741810324466
51,0,TRUE,0.3,TRUE,reward,40,50,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.17836234223697794
52,0,TRUE,0.3,TRUE,reward,40,60,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8063180385471131
49,0,TRUE,0.3,TRUE,reward,40,40,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00296546824115968
53,0,TRUE,0.3,TRUE,reward,40,70,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.6707511665634014
56,0,TRUE,0.3,TRUE,reward,40,10,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00256191479520811
57,0,TRUE,0.3,TRUE,reward,40,20,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0152017925697252
55,0,TRUE,0.3,TRUE,reward,40,90,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9919089675208844
59,0,TRUE,0.3,TRUE,reward,40,35,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00551537285747145
54,0,TRUE,0.3,TRUE,reward,40,80,1000,0.05,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9787769610675796
60,0,TRUE,0.3,TRUE,reward,40,40,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01512361658815728
63,0,TRUE,0.3,TRUE,reward,40,60,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00550690903005586
58,0,TRUE,0.3,TRUE,reward,40,30,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.12729134345341114
64,0,TRUE,0.3,TRUE,reward,40,70,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9982561165790902
65,0,TRUE,0.3,TRUE,reward,40,80,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9909990638851645
61,0,TRUE,0.3,TRUE,reward,40,45,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.7248187599484643
62,0,TRUE,0.3,TRUE,reward,40,50,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5949985590789918
66,0,TRUE,0.3,TRUE,reward,40,90,1000,0.06,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.989709694970293
67,0,TRUE,0.3,TRUE,reward,40,10,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.12433476477272344
68,0,TRUE,0.3,TRUE,reward,40,20,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0040284157734766
72,0,TRUE,0.3,TRUE,reward,40,45,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00458918487120408
69,0,TRUE,0.3,TRUE,reward,40,30,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00680192355307549
73,0,TRUE,0.3,TRUE,reward,40,50,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8904756948191448
74,0,TRUE,0.3,TRUE,reward,40,60,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9900817148704736
70,0,TRUE,0.3,TRUE,reward,40,35,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.29487987522885833
75,0,TRUE,0.3,TRUE,reward,40,70,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9754600101022388
71,0,TRUE,0.3,TRUE,reward,40,40,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.17855403697090644
78,0,TRUE,0.3,TRUE,reward,40,10,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01202260604692564
77,0,TRUE,0.3,TRUE,reward,40,90,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.99403053497684
76,0,TRUE,0.3,TRUE,reward,40,80,1000,0.07,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8319677235439602
81,0,TRUE,0.3,TRUE,reward,40,35,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.3775492516262288
79,0,TRUE,0.3,TRUE,reward,40,20,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00933718675819124
80,0,TRUE,0.3,TRUE,reward,40,30,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.02495938968519414
82,0,TRUE,0.3,TRUE,reward,40,40,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2649812886081901
84,0,TRUE,0.3,TRUE,reward,40,50,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.24106157795819955
83,0,TRUE,0.3,TRUE,reward,40,45,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01022572558345583
87,0,TRUE,0.3,TRUE,reward,40,80,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.984140570264812
86,0,TRUE,0.3,TRUE,reward,40,70,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9938420192931042
88,0,TRUE,0.3,TRUE,reward,40,90,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9950400625924292
91,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00551307326125787
89,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01020335747513863
92,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00444586961106008
90,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00868715917607792
94,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.09181915068205618
93,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.15996462982710374
95,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.7635387813911076
96,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9895032875361608
85,0,TRUE,0.3,TRUE,reward,40,60,1000,0.08,FALSE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.6960437905959258
99,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9952063188101457
98,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.99521765422341
100,0,TRUE,0.3,TRUE,reward,40,10,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00357940766628224
101,0,TRUE,0.3,TRUE,reward,40,20,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01150599122683988
97,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9941969606832788
102,0,TRUE,0.3,TRUE,reward,40,30,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0053472744997525
103,0,TRUE,0.3,TRUE,reward,40,35,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.24841056568977216
104,0,TRUE,0.3,TRUE,reward,40,40,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01023340568704525
105,0,TRUE,0.3,TRUE,reward,40,45,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5970671521873749
106,0,TRUE,0.3,TRUE,reward,40,50,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2811891954418776
107,0,TRUE,0.3,TRUE,reward,40,60,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9884998303082436
110,0,TRUE,0.3,TRUE,reward,40,90,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9915404097782938
112,0,TRUE,0.3,TRUE,reward,40,20,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00295190661779707
109,0,TRUE,0.3,TRUE,reward,40,80,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9884340020716076
114,0,TRUE,0.3,TRUE,reward,40,35,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00419044568165341
108,0,TRUE,0.3,TRUE,reward,40,70,1000,0.02,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.990797366106946
113,0,TRUE,0.3,TRUE,reward,40,30,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00694034307835453
115,0,TRUE,0.3,TRUE,reward,40,40,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00763596760305215
111,0,TRUE,0.3,TRUE,reward,40,10,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00573780580581483
117,0,TRUE,0.3,TRUE,reward,40,50,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.22337558309254385
118,0,TRUE,0.3,TRUE,reward,40,60,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.99333551963626
119,0,TRUE,0.3,TRUE,reward,40,70,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9980435546106567
116,0,TRUE,0.3,TRUE,reward,40,45,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.24383439061736092
124,0,TRUE,0.3,TRUE,reward,40,30,1000,0.04,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0085435601110235
126,0,TRUE,0.3,TRUE,reward,40,40,1000,0.04,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.2816786471418394
123,0,TRUE,0.3,TRUE,reward,40,20,1000,0.04,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1258279085695607
121,0,TRUE,0.3,TRUE,reward,40,90,1000,0.03,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9834250131225056
125,0,TRUE,0.3,TRUE,reward,40,35,1000,0.04,FALSE,0.02,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1715913416637705
