run_number,initial_gamma,gamma_sd,eq_step,max_steps,eq_percent
1,0.01,0.01,217,1000,0.217
2,0.01,0.01,342,1000,0.342
3,0.01,0.01,607,1000,0.607
4,0.01,0.01,469,1000,0.469
5,0.01,0.01,0,1000,0
6,0.01,0.01,779,1000,0.779
7,0.01,0.01,325,1000,0.325
8,0.01,0.01,333,1000,0.333
9,0.01,0.01,467,1000,0.467
10,0.01,0.01,421,1000,0.421
11,0.01,0.01,509,1000,0.509
12,0.02,0.01,116,1000,0.116
13,0.02,0.01,200,1000,0.2
14,0.02,0.01,209,1000,0.209
15,0.02,0.01,85,1000,0.085
16,0.02,0.01,270,1000,0.27
17,0.02,0.01,343,1000,0.343
18,0.02,0.01,172,1000,0.172
19,0.02,0.01,138,1000,0.138
20,0.02,0.01,135,1000,0.135
21,0.02,0.01,140,1000,0.14
22,0.02,0.01,114,1000,0.114
23,0.03,0.01,94,1000,0.094
24,0.03,0.01,118,1000,0.118
25,0.03,0.01,154,1000,0.154
26,0.03,0.01,130,1000,0.13
27,0.03,0.01,529,1000,0.529
28,0.03,0.01,431,1000,0.431
29,0.03,0.01,10,1000,0.01
30,0.03,0.01,49,1000,0.049
31,0.03,0.01,74,1000,0.074
32,0.03,0.01,119,1000,0.119
33,0.03,0.01,87,1000,0.087
34,0.04,0.01,61,1000,0.061
35,0.04,0.01,112,1000,0.112
36,0.04,0.01,123,1000,0.123
37,0.04,0.01,248,1000,0.248
38,0.04,0.01,141,1000,0.141
39,0.04,0.01,105,1000,0.105
40,0.04,0.01,86,1000,0.086
41,0.04,0.01,91,1000,0.091
42,0.04,0.01,89,1000,0.089
43,0.04,0.01,73,1000,0.073
44,0.04,0.01,47,1000,0.047
45,0.05,0.01,50,1000,0.05
46,0.05,0.01,90,1000,0.09
47,0.05,0.01,73,1000,0.073
48,0.05,0.01,115,1000,0.115
49,0.05,0.01,774,1000,0.774
50,0.05,0.01,68,1000,0.068
51,0.05,0.01,90,1000,0.09
52,0.05,0.01,51,1000,0.051
53,0.05,0.01,67,1000,0.067
54,0.05,0.01,38,1000,0.038
55,0.05,0.01,97,1000,0.097
56,0.06,0.01,43,1000,0.043
57,0.06,0.01,35,1000,0.035
58,0.06,0.01,589,1000,0.589
59,0.06,0.01,93,1000,0.093
60,0.06,0.01,85,1000,0.085
61,0.06,0.01,263,1000,0.263
62,0.06,0.01,70,1000,0.07
63,0.06,0.01,769,1000,0.769
64,0.06,0.01,140,1000,0.14
65,0.06,0.01,41,1000,0.041
66,0.06,0.01,30,1000,0.03
67,0.07,0.01,46,1000,0.046
68,0.07,0.01,54,1000,0.054
69,0.07,0.01,47,1000,0.047
70,0.07,0.01,5,1000,0.005
71,0.07,0.01,30,1000,0.03
72,0.07,0.01,70,1000,0.07
73,0.07,0.01,134,1000,0.134
74,0.07,0.01,433,1000,0.433
75,0.07,0.01,989,1000,0.989
76,0.07,0.01,18,1000,0.018
77,0.07,0.01,37,1000,0.037
78,0.08,0.01,29,1000,0.029
79,0.08,0.01,35,1000,0.035
80,0.08,0.01,32,1000,0.032
81,0.08,0.01,53,1000,0.053
82,0.08,0.01,57,1000,0.057
83,0.08,0.01,93,1000,0.093
84,0.08,0.01,646,1000,0.646
85,0.08,0.01,8,1000,0.008
86,0.08,0.01,42,1000,0.042
87,0.08,0.01,34,1000,0.034
88,0.08,0.01,35,1000,0.035
89,0.01,0.02,200,1000,0.2
90,0.01,0.02,324,1000,0.324
91,0.01,0.02,403,1000,0.403
92,0.01,0.02,511,1000,0.511
93,0.01,0.02,490,1000,0.49
94,0.01,0.02,784,1000,0.784
95,0.01,0.02,625,1000,0.625
96,0.01,0.02,640,1000,0.64
97,0.01,0.02,370,1000,0.37
98,0.01,0.02,359,1000,0.359
99,0.01,0.02,259,1000,0.259
100,0.02,0.02,133,1000,0.133
101,0.02,0.02,146,1000,0.146
102,0.02,0.02,317,1000,0.317
103,0.02,0.02,234,1000,0.234
104,0.02,0.02,191,1000,0.191
105,0.02,0.02,209,1000,0.209
106,0.02,0.02,285,1000,0.285
107,0.02,0.02,237,1000,0.237
108,0.02,0.02,210,1000,0.21
109,0.02,0.02,141,1000,0.141
110,0.02,0.02,114,1000,0.114
111,0.03,0.02,70,1000,0.07
112,0.03,0.02,134,1000,0.134
113,0.03,0.02,133,1000,0.133
114,0.03,0.02,144,1000,0.144
115,0.03,0.02,125,1000,0.125
116,0.03,0.02,171,1000,0.171
117,0.03,0.02,267,1000,0.267
118,0.03,0.02,140,1000,0.14
119,0.03,0.02,146,1000,0.146
120,0.03,0.02,116,1000,0.116
121,0.03,0.02,46,1000,0.046
122,0.04,0.02,252,1000,0.252
123,0.04,0.02,32,1000,0.032
124,0.04,0.02,117,1000,0.117
125,0.04,0.02,89,1000,0.089
126,0.04,0.02,39,1000,0.039
127,0.04,0.02,32,1000,0.032
128,0.04,0.02,194,1000,0.194
129,0.04,0.02,297,1000,0.297
130,0.04,0.02,390,1000,0.39
131,0.04,0.02,89,1000,0.089
132,0.04,0.02,73,1000,0.073
133,0.05,0.02,76,1000,0.076
