run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes,mean_age_of_nodes,graph_group
5,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00663273582282519,1000,Deterministic
6,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5012464717002475,1000,Deterministic
10,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9941794899943244,1000,Deterministic
2,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00640792830456553,1000,Deterministic
8,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9897771989938574,1000,Deterministic
4,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.24277252441989297,1000,Deterministic
7,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4237630135827309,1000,Deterministic
9,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.991858981611607,1000,Deterministic
3,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00481737578661901,1000,Deterministic
1,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00930070558133081,1000,Deterministic
16,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.07061818489257306,1007.6150151607496,Probabilistic (SD = 30)
17,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.5239073484945884,1010.2547632926212,Probabilistic (SD = 30)
18,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.6025293482438987,1008.8251965316284,Probabilistic (SD = 30)
14,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.1242064978708354,1011.7657640276148,Probabilistic (SD = 30)
13,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.00509978074059694,1009.0172177070384,Probabilistic (SD = 30)
12,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.00535288546676077,1010.1237102280022,Probabilistic (SD = 30)
11,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9922111120116938,1000,Deterministic
15,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.1569046926807905,1012.1545791617116,Probabilistic (SD = 30)
19,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.9939460070276948,1012.6759553600364,Probabilistic (SD = 30)
20,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.9921263363295092,1011.6142267610576,Probabilistic (SD = 30)
22,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.9927333988360456,1011.9866400965412,Probabilistic (SD = 30)
23,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.00512452008944568,1000,Deterministic
26,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.25124781838325494,1000,Deterministic
27,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.09869212519789489,1000,Deterministic
21,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,30,0,200,1,FALSE,20,80,1000,0.9900091328446246,1011.6201044672546,Probabilistic (SD = 30)
24,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.00493318885953812,1000,Deterministic
28,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.4236543531627048,1000,Deterministic
29,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.638644358866565,1000,Deterministic
25,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.00773493420636739,1000,Deterministic
31,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.8204927653837919,1000,Deterministic
32,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.9932246571973724,1000,Deterministic
35,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.006473023934286,1013.171090758128,Probabilistic (SD = 50)
33,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.9937184170822062,1000,Deterministic
34,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.00458108297068589,1023.9916965512964,Probabilistic (SD = 50)
37,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.17569953204537356,1020.475696673335,Probabilistic (SD = 50)
36,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.00743302747719635,1011.6566301910904,Probabilistic (SD = 50)
38,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.4502383583271808,1028.1021526487311,Probabilistic (SD = 50)
30,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,50,0,200,1,FALSE,20,80,1000,0.9904289400507535,1000,Deterministic
39,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.4509307530756761,1026.0276090198563,Probabilistic (SD = 50)
41,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.5028804466204375,1024.6329326063976,Probabilistic (SD = 50)
46,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.00812089559631818,1000,Deterministic
40,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.21250670917240777,1021.4835328079414,Probabilistic (SD = 50)
45,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.00914213713776074,1000,Deterministic
43,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.9936765106284934,1024.9927770944098,Probabilistic (SD = 50)
42,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.9922214940415446,1025.7194387672646,Probabilistic (SD = 50)
44,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,50,0,200,1,FALSE,20,80,1000,0.9917379309646718,1025.455703592468,Probabilistic (SD = 50)
48,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.1294752660141252,1000,Deterministic
49,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.00658539409960105,1000,Deterministic
53,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.9924055611027744,1000,Deterministic
47,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.00492963917900698,1000,Deterministic
50,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.00774311802314417,1000,Deterministic
55,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.9896693980578116,1000,Deterministic
51,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.620152896355364,1000,Deterministic
56,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.00752737686384468,1033.5355844733983,Probabilistic (SD = 100)
52,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.9123103026818538,1000,Deterministic
54,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,100,0,200,1,FALSE,20,80,1000,0.9956331658780624,1000,Deterministic
57,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.11097547837055352,1039.5960200618824,Probabilistic (SD = 100)
59,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.33126421670384526,1041.5357546514856,Probabilistic (SD = 100)
58,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.00840442582713739,1049.1673643277,Probabilistic (SD = 100)
61,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.05992162217623435,1049.0980738724932,Probabilistic (SD = 100)
60,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.23844652590643248,1050.846596362495,Probabilistic (SD = 100)
64,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.995531255177638,1029.860295906035,Probabilistic (SD = 100)
62,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.7457956697448498,1040.114138233234,Probabilistic (SD = 100)
66,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,FALSE,0,100,0,200,1,FALSE,20,80,1000,0.9926443628759516,1026.8793242438085,Probabilistic (SD = 100)
