run_number,initial_gamma,age_sd,deterministic_age,eq_step,max_steps,eq_percent
1,0.01,30,TRUE,41,1000,0.041
2,0.01,30,TRUE,120,1000,0.12
3,0.01,30,TRUE,106,1000,0.106
4,0.01,30,TRUE,63,1000,0.063
5,0.01,30,TRUE,95,1000,0.095
6,0.01,30,TRUE,483,1000,0.483
7,0.01,30,TRUE,66,1000,0.066
8,0.01,30,TRUE,493,1000,0.493
9,0.01,30,TRUE,185,1000,0.185
10,0.01,30,TRUE,143,1000,0.143
11,0.01,30,TRUE,47,1000,0.047
12,0.01,30,FALSE,56,1000,0.056
13,0.01,30,FALSE,119,1000,0.119
14,0.01,30,FALSE,118,1000,0.118
15,0.01,30,FALSE,59,1000,0.059
16,0.01,30,FALSE,121,1000,0.121
17,0.01,30,FALSE,292,1000,0.292
18,0.01,30,FALSE,80,1000,0.08
19,0.01,30,FALSE,134,1000,0.134
20,0.01,30,FALSE,94,1000,0.094
21,0.01,30,FALSE,69,1000,0.069
22,0.01,30,FALSE,85,1000,0.085
23,0.01,50,TRUE,75,1000,0.075
24,0.01,50,TRUE,77,1000,0.077
25,0.01,50,TRUE,104,1000,0.104
26,0.01,50,TRUE,48,1000,0.048
27,0.01,50,TRUE,111,1000,0.111
28,0.01,50,TRUE,7,1000,0.007
29,0.01,50,TRUE,231,1000,0.231
30,0.01,50,TRUE,354,1000,0.354
31,0.01,50,TRUE,77,1000,0.077
32,0.01,50,TRUE,78,1000,0.078
33,0.01,50,TRUE,63,1000,0.063
34,0.01,50,FALSE,80,1000,0.08
35,0.01,50,FALSE,175,1000,0.175
36,0.01,50,FALSE,95,1000,0.095
37,0.01,50,FALSE,84,1000,0.084
38,0.01,50,FALSE,103,1000,0.103
39,0.01,50,FALSE,0,1000,0
40,0.01,50,FALSE,107,1000,0.107
41,0.01,50,FALSE,634,1000,0.634
42,0.01,50,FALSE,120,1000,0.12
43,0.01,50,FALSE,94,1000,0.094
44,0.01,50,FALSE,52,1000,0.052
45,0.01,100,TRUE,62,1000,0.062
46,0.01,100,TRUE,93,1000,0.093
47,0.01,100,TRUE,96,1000,0.096
48,0.01,100,TRUE,97,1000,0.097
49,0.01,100,TRUE,115,1000,0.115
50,0.01,100,TRUE,290,1000,0.29
51,0.01,100,TRUE,124,1000,0.124
52,0.01,100,TRUE,82,1000,0.082
53,0.01,100,TRUE,84,1000,0.084
54,0.01,100,TRUE,81,1000,0.081
55,0.01,100,TRUE,74,1000,0.074
56,0.01,100,FALSE,57,1000,0.057
57,0.01,100,FALSE,31,1000,0.031
58,0.01,100,FALSE,153,1000,0.153
59,0.01,100,FALSE,10,1000,0.01
60,0.01,100,FALSE,34,1000,0.034
61,0.01,100,FALSE,141,1000,0.141
62,0.01,100,FALSE,98,1000,0.098
63,0.01,100,FALSE,167,1000,0.167
64,0.01,100,FALSE,95,1000,0.095
65,0.01,100,FALSE,99,1000,0.099
66,0.01,100,FALSE,62,1000,0.062
67,0.01,30,TRUE,60,1000,0.06
68,0.01,30,TRUE,80,1000,0.08
69,0.01,30,TRUE,122,1000,0.122
70,0.01,30,TRUE,78,1000,0.078
71,0.01,30,TRUE,133,1000,0.133
72,0.01,30,TRUE,254,1000,0.254
73,0.01,30,TRUE,18,1000,0.018
74,0.01,30,TRUE,96,1000,0.096
75,0.01,30,TRUE,59,1000,0.059
76,0.01,30,TRUE,78,1000,0.078
77,0.01,30,TRUE,46,1000,0.046
78,0.01,30,FALSE,65,1000,0.065
79,0.01,30,FALSE,126,1000,0.126
80,0.01,30,FALSE,102,1000,0.102
81,0.01,30,FALSE,106,1000,0.106
82,0.01,30,FALSE,95,1000,0.095
83,0.01,30,FALSE,160,1000,0.16
