chance_listen_to_outgroup,percent_grammar_1,percent_cohort2,type,final_state
0.1,65,50,Cohort 1 mean,0.958257129423392
0.1,65,50,Cohort 2 mean,0.9501887040650716
0.1,65,50,Overall mean,0.954222916744232
0.1,30,50,Cohort 1 mean,0.30476506578421325
0.1,30,50,Cohort 2 mean,0.1615969815339004
0.1,30,50,Overall mean,0.23318102365905696
0.1,35,50,Cohort 1 mean,0.11079219068253768
0.1,35,50,Cohort 2 mean,0.01202286081521294
0.1,35,50,Overall mean,0.061407525748875313
0.1,60,50,Cohort 1 mean,0.7532982936273639
0.1,60,50,Cohort 2 mean,0.7632603334470589
0.1,60,50,Overall mean,0.7582793135372112
0.1,55,50,Cohort 1 mean,0.8816149512245189
0.1,55,50,Cohort 2 mean,0.8366220713392272
0.1,55,50,Overall mean,0.8591185112818731
0.1,40,50,Cohort 1 mean,0.2213623114597691
0.1,40,50,Cohort 2 mean,0.16195723164189846
0.1,40,50,Overall mean,0.19165977155083375
0.1,20,50,Cohort 1 mean,0.01379114713192526
0.1,20,50,Cohort 2 mean,0.01933836486648394
0.1,20,50,Overall mean,0.0165647559992046
0.1,45,50,Cohort 1 mean,0.24983146867635136
0.1,45,50,Cohort 2 mean,0.21472447653304025
0.1,45,50,Overall mean,0.23227797260469576
0.1,50,50,Cohort 1 mean,0.30322559882438815
0.1,50,50,Cohort 2 mean,0.399472727789344
0.1,50,50,Overall mean,0.35134916330686605
0.1,10,50,Cohort 1 mean,0.10282646611056208
0.1,10,50,Cohort 2 mean,0.12282721745467726
0.1,10,50,Overall mean,0.1128268417826197
0.1,70,50,Cohort 1 mean,0.8394161586064468
0.1,70,50,Cohort 2 mean,0.8238951497230487
0.1,70,50,Overall mean,0.8316556541647477
0.2,30,50,Cohort 1 mean,0.00908281220355534
0.2,30,50,Cohort 2 mean,0.02121965156077779
0.2,30,50,Overall mean,0.01515123188216657
0.2,10,50,Cohort 1 mean,0.01023776703693718
0.2,10,50,Cohort 2 mean,0.01154500481832663
0.2,10,50,Overall mean,0.0108913859276319
0.2,20,50,Cohort 1 mean,0.01099102206328575
0.2,20,50,Cohort 2 mean,0.0967807461945054
0.2,20,50,Overall mean,0.05388588412889558
0.1,90,50,Cohort 1 mean,0.9712900795532882
0.1,90,50,Cohort 2 mean,0.980606753190552
0.1,90,50,Overall mean,0.97594841637192
0.2,40,50,Cohort 1 mean,0.5452933466057285
0.2,40,50,Cohort 2 mean,0.6025924195685698
0.2,40,50,Overall mean,0.5739428830871489
0.1,80,50,Cohort 1 mean,0.9768037696730748
0.1,80,50,Cohort 2 mean,0.9858191760075776
0.1,80,50,Overall mean,0.9813114728403264
0.2,35,50,Cohort 1 mean,0.3651149309457246
0.2,35,50,Cohort 2 mean,0.33579185972210096
0.2,35,50,Overall mean,0.35045339533391273
0.2,45,50,Cohort 1 mean,0.6222318899778345
0.2,45,50,Cohort 2 mean,0.5537702859837663
0.2,45,50,Overall mean,0.5880010879808004
0.2,50,50,Cohort 1 mean,0.6436252967622819
0.2,50,50,Cohort 2 mean,0.6488962953569939
0.2,50,50,Overall mean,0.6462607960596377
0.2,80,50,Cohort 1 mean,0.993697668175664
0.2,80,50,Cohort 2 mean,0.9867907940034486
0.2,80,50,Overall mean,0.990244231089556
0.2,65,50,Cohort 1 mean,0.9897029876619192
0.2,65,50,Cohort 2 mean,0.9847979189979787
0.2,65,50,Overall mean,0.9872504533299488
0.3,10,50,Cohort 1 mean,0.00758151076780982
0.3,10,50,Cohort 2 mean,0.00748159304354616
0.3,10,50,Overall mean,0.00753155190567799
0.2,70,50,Cohort 1 mean,0.9911518155054418
0.2,70,50,Cohort 2 mean,0.9924660533686348
0.2,70,50,Overall mean,0.9918089344370384
0.3,20,50,Cohort 1 mean,0.00776881246618488
0.3,20,50,Cohort 2 mean,0.00918887270125314
0.3,20,50,Overall mean,0.00847884258371901
0.2,90,50,Cohort 1 mean,0.9914383762170292
0.2,90,50,Cohort 2 mean,0.989054972369602
0.2,90,50,Overall mean,0.9902466742933156
0.3,30,50,Cohort 1 mean,0.1392687128893824
0.3,30,50,Cohort 2 mean,0.10865516766813672
0.3,30,50,Overall mean,0.1239619402787596
0.2,55,50,Cohort 1 mean,0.7447943332427264
0.2,55,50,Cohort 2 mean,0.4671007316232062
0.2,55,50,Overall mean,0.6059475324329665
0.2,60,50,Cohort 1 mean,0.8441368326547172
