percent_grammar_1,percent_cohort2,cohort2_age,name,mean_state_of_nodes
30,10,50,cohort1_state,0.00863926690832279
30,10,50,cohort2_state,0.01132536563444902
35,10,50,cohort1_state,0.00660439132175348
35,10,50,cohort2_state,0.00725309245909435
20,10,50,cohort1_state,0.00886105754773695
20,10,50,cohort2_state,0.01036315393733057
40,10,50,cohort1_state,0.5279626290261574
40,10,50,cohort2_state,0.4777099154594715
60,10,50,cohort1_state,0.8994863682892262
60,10,50,cohort2_state,0.9922667176501468
45,10,50,cohort1_state,0.1003456966608661
45,10,50,cohort2_state,0.2497914348156957
80,10,50,cohort1_state,0.9921752477669704
80,10,50,cohort2_state,0.9916623158744512
50,10,50,cohort1_state,0.3392478679028812
50,10,50,cohort2_state,0.727292210967703
70,10,50,cohort1_state,0.9945267784422096
70,10,50,cohort2_state,0.9972421465879828
10,10,50,cohort1_state,0.00615938056762764
10,10,50,cohort2_state,0.00650946025083435
20,20,50,cohort1_state,0.00751654267195565
20,20,50,cohort2_state,0.0075773194211433
90,10,50,cohort1_state,0.994179177499774
90,10,50,cohort2_state,0.990797523755356
35,20,50,cohort1_state,0.00463000965685193
35,20,50,cohort2_state,0.00530131695469605
10,20,50,cohort1_state,0.00521532032836043
10,20,50,cohort2_state,0.00594508777777876
45,20,50,cohort1_state,0.00611985027772799
45,20,50,cohort2_state,0.00607676375275856
50,20,50,cohort1_state,0.8775271718150772
50,20,50,cohort2_state,0.8758460266168198
40,20,50,cohort1_state,0.00678789896223258
40,20,50,cohort2_state,0.00673808609049583
30,20,50,cohort1_state,0.4016037135455488
30,20,50,cohort2_state,0.2834201260155915
70,20,50,cohort1_state,0.8977248489560693
70,20,50,cohort2_state,0.9028782547346128
60,20,50,cohort1_state,0.992638934611756
60,20,50,cohort2_state,0.9931472061528888
80,20,50,cohort1_state,0.991101634755426
80,20,50,cohort2_state,0.991732190129788
10,35,50,cohort1_state,0.00796745983868563
10,35,50,cohort2_state,0.00774122864929326
90,20,50,cohort1_state,0.991154994693165
90,20,50,cohort2_state,0.991472796927751
35,35,50,cohort1_state,0.0690730477769339
35,35,50,cohort2_state,0.13304363264822364
20,35,50,cohort1_state,0.00722635876099931
20,35,50,cohort2_state,0.00863768918575489
30,35,50,cohort1_state,0.00651469105932729
30,35,50,cohort2_state,0.00607421817356876
45,35,50,cohort1_state,0.6511763662424273
45,35,50,cohort2_state,0.9194119061768624
60,35,50,cohort1_state,0.6825923911822509
60,35,50,cohort2_state,0.8979283194257176
40,35,50,cohort1_state,0.258210760426831
40,35,50,cohort2_state,0.29185950220353274
50,35,50,cohort1_state,0.9642171222412134
50,35,50,cohort2_state,0.9464089490079646
80,35,50,cohort1_state,0.9933151874448902
80,35,50,cohort2_state,0.9941750759297115
20,50,50,cohort1_state,0.00443941091991854
20,50,50,cohort2_state,0.00526067523964332
70,35,50,cohort1_state,0.8448802178414566
70,35,50,cohort2_state,0.799038762344583
40,50,50,cohort1_state,0.3169585465522491
40,50,50,cohort2_state,0.13097981389167462
30,50,50,cohort1_state,0.09962762609421914
