run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,perseverance,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes,cohort1_state,cohort2_state
3,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.00890787678093541,0.00863926690832279,0.01132536563444902
4,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.00666926143548757,0.00660439132175348,0.00725309245909435
2,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.00901126718669631,0.00886105754773695,0.01036315393733057
5,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.5229373576694888,0.5279626290261574,0.4777099154594715
8,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.9087644032253184,0.8994863682892262,0.9922667176501468
6,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.11529027047634909,0.1003456966608661,0.2497914348156957
10,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.9921239545777188,0.9921752477669704,0.9916623158744512
7,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.37805230220936326,0.3392478679028812,0.727292210967703
9,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.994798315256787,0.9945267784422096,0.9972421465879828
1,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.00619438853594831,0.00615938056762764,0.00650946025083435
13,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.00752869802179318,0.00751654267195565,0.0075773194211433
11,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,10,50,1,FALSE,20,80,1000,0.9938410121253322,0.994179177499774,0.990797523755356
15,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.00476427111642075,0.00463000965685193,0.00530131695469605
12,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.0053612738182441,0.00521532032836043,0.00594508777777876
17,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.0061112329727341,0.00611985027772799,0.00607676375275856
18,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.877190942775426,0.8775271718150772,0.8758460266168198
16,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.00677793638788523,0.00678789896223258,0.00673808609049583
14,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.37796699603955736,0.4016037135455488,0.2834201260155915
20,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.898755530111778,0.8977248489560693,0.9028782547346128
19,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.9927405889199824,0.992638934611756,0.9931472061528888
21,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.991227745830298,0.991101634755426,0.991732190129788
23,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,35,50,1,FALSE,20,80,1000,0.0078882789223983,0.00796745983868563,0.00774122864929326
22,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,20,50,1,FALSE,20,80,1000,0.9912185551400824,0.991154994693165,0.991472796927751
26,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,35,50,1,FALSE,20,80,1000,0.09146275248188532,0.0690730477769339,0.13304363264822364
24,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,TRUE,0.01,decreases,1,TRUE,TRUE,0,30,35,50,1,FALSE,20,80,1000,0.00772032440966376,0.00722635876099931,0.00863768918575489
