run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent,type
1,10,50,10,59,1000,0.059,cohort1_equilibrium
2,10,50,20,71,1000,0.071,cohort1_equilibrium
3,10,50,30,137,1000,0.137,cohort1_equilibrium
4,10,50,35,136,1000,0.136,cohort1_equilibrium
5,10,50,40,568,1000,0.568,cohort1_equilibrium
6,10,50,45,381,1000,0.381,cohort1_equilibrium
7,10,50,50,82,1000,0.082,cohort1_equilibrium
8,10,50,60,102,1000,0.102,cohort1_equilibrium
9,10,50,70,104,1000,0.104,cohort1_equilibrium
10,10,50,80,71,1000,0.071,cohort1_equilibrium
11,10,50,90,45,1000,0.045,cohort1_equilibrium
12,20,50,10,62,1000,0.062,cohort1_equilibrium
13,20,50,20,91,1000,0.091,cohort1_equilibrium
14,20,50,30,144,1000,0.144,cohort1_equilibrium
15,20,50,35,111,1000,0.111,cohort1_equilibrium
16,20,50,40,108,1000,0.108,cohort1_equilibrium
17,20,50,45,166,1000,0.166,cohort1_equilibrium
18,20,50,50,112,1000,0.112,cohort1_equilibrium
19,20,50,60,246,1000,0.246,cohort1_equilibrium
20,20,50,70,110,1000,0.11,cohort1_equilibrium
21,20,50,80,72,1000,0.072,cohort1_equilibrium
22,20,50,90,55,1000,0.055,cohort1_equilibrium
23,35,50,10,62,1000,0.062,cohort1_equilibrium
24,35,50,20,159,1000,0.159,cohort1_equilibrium
25,35,50,30,372,1000,0.372,cohort1_equilibrium
26,35,50,35,133,1000,0.133,cohort1_equilibrium
27,35,50,40,41,1000,0.041,cohort1_equilibrium
28,35,50,45,110,1000,0.11,cohort1_equilibrium
29,35,50,50,725,1000,0.725,cohort1_equilibrium
30,35,50,60,67,1000,0.067,cohort1_equilibrium
31,35,50,70,57,1000,0.057,cohort1_equilibrium
32,35,50,80,75,1000,0.075,cohort1_equilibrium
33,35,50,90,66,1000,0.066,cohort1_equilibrium
34,50,50,10,53,1000,0.053,cohort1_equilibrium
35,50,50,20,85,1000,0.085,cohort1_equilibrium
36,50,50,30,187,1000,0.187,cohort1_equilibrium
37,50,50,35,98,1000,0.098,cohort1_equilibrium
38,50,50,40,64,1000,0.064,cohort1_equilibrium
39,50,50,45,162,1000,0.162,cohort1_equilibrium
40,50,50,50,154,1000,0.154,cohort1_equilibrium
41,50,50,60,159,1000,0.159,cohort1_equilibrium
42,50,50,70,89,1000,0.089,cohort1_equilibrium
43,50,50,80,71,1000,0.071,cohort1_equilibrium
44,50,50,90,58,1000,0.058,cohort1_equilibrium
45,65,50,10,28,1000,0.028,cohort1_equilibrium
46,65,50,20,76,1000,0.076,cohort1_equilibrium
47,65,50,30,153,1000,0.153,cohort1_equilibrium
48,65,50,35,86,1000,0.086,cohort1_equilibrium
49,65,50,40,83,1000,0.083,cohort1_equilibrium
50,65,50,45,75,1000,0.075,cohort1_equilibrium
51,65,50,50,132,1000,0.132,cohort1_equilibrium
52,65,50,60,134,1000,0.134,cohort1_equilibrium
53,65,50,70,104,1000,0.104,cohort1_equilibrium
54,65,50,80,83,1000,0.083,cohort1_equilibrium
55,65,50,90,45,1000,0.045,cohort1_equilibrium
56,75,50,10,73,1000,0.073,cohort1_equilibrium
57,75,50,20,103,1000,0.103,cohort1_equilibrium
58,75,50,30,89,1000,0.089,cohort1_equilibrium
59,75,50,35,116,1000,0.116,cohort1_equilibrium
60,75,50,40,138,1000,0.138,cohort1_equilibrium
61,75,50,45,102,1000,0.102,cohort1_equilibrium
62,75,50,50,2,1000,0.002,cohort1_equilibrium
63,75,50,60,121,1000,0.121,cohort1_equilibrium
64,75,50,70,106,1000,0.106,cohort1_equilibrium
65,75,50,80,62,1000,0.062,cohort1_equilibrium
66,75,50,90,37,1000,0.037,cohort1_equilibrium
67,90,50,10,0,1000,0,cohort1_equilibrium
68,90,50,20,0,1000,0,cohort1_equilibrium
69,90,50,30,83,1000,0.083,cohort1_equilibrium
70,90,50,35,122,1000,0.122,cohort1_equilibrium
71,90,50,40,1,1000,0.001,cohort1_equilibrium
72,90,50,45,44,1000,0.044,cohort1_equilibrium
73,90,50,50,0,1000,0,cohort1_equilibrium
74,90,50,60,101,1000,0.101,cohort1_equilibrium
75,90,50,70,78,1000,0.078,cohort1_equilibrium
76,90,50,80,0,1000,0,cohort1_equilibrium
77,90,50,90,71,1000,0.071,cohort1_equilibrium
78,10,150,10,51,1000,0.051,cohort1_equilibrium
79,10,150,20,125,1000,0.125,cohort1_equilibrium
80,10,150,30,53,1000,0.053,cohort1_equilibrium
81,10,150,35,156,1000,0.156,cohort1_equilibrium
82,10,150,40,146,1000,0.146,cohort1_equilibrium
83,10,150,45,119,1000,0.119,cohort1_equilibrium
84,10,150,50,164,1000,0.164,cohort1_equilibrium
85,10,150,60,145,1000,0.145,cohort1_equilibrium
86,10,150,70,87,1000,0.087,cohort1_equilibrium
87,10,150,80,67,1000,0.067,cohort1_equilibrium
88,10,150,90,62,1000,0.062,cohort1_equilibrium
89,20,150,10,68,1000,0.068,cohort1_equilibrium
90,20,150,20,90,1000,0.09,cohort1_equilibrium
91,20,150,30,114,1000,0.114,cohort1_equilibrium
92,20,150,35,128,1000,0.128,cohort1_equilibrium
93,20,150,40,290,1000,0.29,cohort1_equilibrium
94,20,150,45,99,1000,0.099,cohort1_equilibrium
95,20,150,50,902,1000,0.902,cohort1_equilibrium
96,20,150,60,161,1000,0.161,cohort1_equilibrium
97,20,150,70,163,1000,0.163,cohort1_equilibrium
98,20,150,80,114,1000,0.114,cohort1_equilibrium
99,20,150,90,84,1000,0.084,cohort1_equilibrium
100,35,150,10,59,1000,0.059,cohort1_equilibrium
101,35,150,20,86,1000,0.086,cohort1_equilibrium
102,35,150,30,87,1000,0.087,cohort1_equilibrium
103,35,150,35,65,1000,0.065,cohort1_equilibrium
104,35,150,40,66,1000,0.066,cohort1_equilibrium
105,35,150,45,283,1000,0.283,cohort1_equilibrium
106,35,150,50,173,1000,0.173,cohort1_equilibrium
107,35,150,60,115,1000,0.115,cohort1_equilibrium
108,35,150,70,125,1000,0.125,cohort1_equilibrium
109,35,150,80,79,1000,0.079,cohort1_equilibrium
110,35,150,90,64,1000,0.064,cohort1_equilibrium
111,50,150,10,31,1000,0.031,cohort1_equilibrium
112,50,150,20,86,1000,0.086,cohort1_equilibrium
113,50,150,30,84,1000,0.084,cohort1_equilibrium
114,50,150,35,129,1000,0.129,cohort1_equilibrium
115,50,150,40,104,1000,0.104,cohort1_equilibrium
116,50,150,45,97,1000,0.097,cohort1_equilibrium
117,50,150,50,38,1000,0.038,cohort1_equilibrium
118,50,150,60,165,1000,0.165,cohort1_equilibrium
119,50,150,70,130,1000,0.13,cohort1_equilibrium
120,50,150,80,34,1000,0.034,cohort1_equilibrium
121,50,150,90,57,1000,0.057,cohort1_equilibrium
122,65,150,10,74,1000,0.074,cohort1_equilibrium
123,65,150,20,89,1000,0.089,cohort1_equilibrium
124,65,150,30,111,1000,0.111,cohort1_equilibrium
125,65,150,35,95,1000,0.095,cohort1_equilibrium
126,65,150,40,86,1000,0.086,cohort1_equilibrium
127,65,150,45,74,1000,0.074,cohort1_equilibrium
128,65,150,50,12,1000,0.012,cohort1_equilibrium
129,65,150,60,101,1000,0.101,cohort1_equilibrium
130,65,150,70,104,1000,0.104,cohort1_equilibrium
131,65,150,80,69,1000,0.069,cohort1_equilibrium
132,65,150,90,63,1000,0.063,cohort1_equilibrium
133,75,150,10,0,1000,0,cohort1_equilibrium
134,75,150,20,86,1000,0.086,cohort1_equilibrium
135,75,150,30,74,1000,0.074,cohort1_equilibrium
136,75,150,35,132,1000,0.132,cohort1_equilibrium
137,75,150,40,203,1000,0.203,cohort1_equilibrium
138,75,150,45,12,1000,0.012,cohort1_equilibrium
139,75,150,50,102,1000,0.102,cohort1_equilibrium
140,75,150,60,134,1000,0.134,cohort1_equilibrium
141,75,150,70,76,1000,0.076,cohort1_equilibrium
142,75,150,80,91,1000,0.091,cohort1_equilibrium
143,75,150,90,127,1000,0.127,cohort1_equilibrium
144,90,150,10,0,1000,0,cohort1_equilibrium
145,90,150,20,106,1000,0.106,cohort1_equilibrium
146,90,150,30,101,1000,0.101,cohort1_equilibrium
147,90,150,35,1,1000,0.001,cohort1_equilibrium
148,90,150,40,141,1000,0.141,cohort1_equilibrium
149,90,150,45,133,1000,0.133,cohort1_equilibrium
150,90,150,50,486,1000,0.486,cohort1_equilibrium
151,90,150,60,1,1000,0.001,cohort1_equilibrium
152,90,150,70,1,1000,0.001,cohort1_equilibrium
153,90,150,80,0,1000,0,cohort1_equilibrium
154,90,150,90,0,1000,0,cohort1_equilibrium
155,10,300,10,64,1000,0.064,cohort1_equilibrium
156,10,300,20,89,1000,0.089,cohort1_equilibrium
157,10,300,30,114,1000,0.114,cohort1_equilibrium
158,10,300,35,104,1000,0.104,cohort1_equilibrium
159,10,300,40,0,1000,0,cohort1_equilibrium
160,10,300,45,160,1000,0.16,cohort1_equilibrium
161,10,300,50,157,1000,0.157,cohort1_equilibrium
162,10,300,60,135,1000,0.135,cohort1_equilibrium
163,10,300,70,101,1000,0.101,cohort1_equilibrium
164,10,300,80,11,1000,0.011,cohort1_equilibrium
165,10,300,90,44,1000,0.044,cohort1_equilibrium
166,20,300,10,74,1000,0.074,cohort1_equilibrium
167,20,300,20,71,1000,0.071,cohort1_equilibrium
168,20,300,30,109,1000,0.109,cohort1_equilibrium
169,20,300,35,0,1000,0,cohort1_equilibrium
170,20,300,40,107,1000,0.107,cohort1_equilibrium
171,20,300,45,5,1000,0.005,cohort1_equilibrium
172,20,300,50,257,1000,0.257,cohort1_equilibrium
173,20,300,60,75,1000,0.075,cohort1_equilibrium
174,20,300,70,88,1000,0.088,cohort1_equilibrium
175,20,300,80,89,1000,0.089,cohort1_equilibrium
176,20,300,90,60,1000,0.06,cohort1_equilibrium
177,35,300,10,74,1000,0.074,cohort1_equilibrium
178,35,300,20,99,1000,0.099,cohort1_equilibrium
179,35,300,30,88,1000,0.088,cohort1_equilibrium
180,35,300,35,72,1000,0.072,cohort1_equilibrium
181,35,300,40,82,1000,0.082,cohort1_equilibrium
182,35,300,45,101,1000,0.101,cohort1_equilibrium
183,35,300,50,2,1000,0.002,cohort1_equilibrium
184,35,300,60,48,1000,0.048,cohort1_equilibrium
185,35,300,70,91,1000,0.091,cohort1_equilibrium
186,35,300,80,86,1000,0.086,cohort1_equilibrium
187,35,300,90,75,1000,0.075,cohort1_equilibrium
188,50,300,10,77,1000,0.077,cohort1_equilibrium
189,50,300,20,5,1000,0.005,cohort1_equilibrium
190,50,300,30,99,1000,0.099,cohort1_equilibrium
191,50,300,35,53,1000,0.053,cohort1_equilibrium
192,50,300,40,291,1000,0.291,cohort1_equilibrium
193,50,300,45,140,1000,0.14,cohort1_equilibrium
194,50,300,50,0,1000,0,cohort1_equilibrium
195,50,300,60,25,1000,0.025,cohort1_equilibrium
196,50,300,70,80,1000,0.08,cohort1_equilibrium
197,50,300,80,85,1000,0.085,cohort1_equilibrium
198,50,300,90,0,1000,0,cohort1_equilibrium
199,65,300,10,40,1000,0.04,cohort1_equilibrium
200,65,300,20,76,1000,0.076,cohort1_equilibrium
201,65,300,30,117,1000,0.117,cohort1_equilibrium
202,65,300,35,115,1000,0.115,cohort1_equilibrium
203,65,300,40,124,1000,0.124,cohort1_equilibrium
204,65,300,45,159,1000,0.159,cohort1_equilibrium
205,65,300,50,437,1000,0.437,cohort1_equilibrium
206,65,300,60,0,1000,0,cohort1_equilibrium
207,65,300,70,130,1000,0.13,cohort1_equilibrium
208,65,300,80,49,1000,0.049,cohort1_equilibrium
209,65,300,90,49,1000,0.049,cohort1_equilibrium
210,75,300,10,63,1000,0.063,cohort1_equilibrium
211,75,300,20,111,1000,0.111,cohort1_equilibrium
212,75,300,30,79,1000,0.079,cohort1_equilibrium
213,75,300,35,82,1000,0.082,cohort1_equilibrium
214,75,300,40,114,1000,0.114,cohort1_equilibrium
215,75,300,45,139,1000,0.139,cohort1_equilibrium
216,75,300,50,169,1000,0.169,cohort1_equilibrium
217,75,300,60,383,1000,0.383,cohort1_equilibrium
218,75,300,70,55,1000,0.055,cohort1_equilibrium
219,75,300,80,9,1000,0.009,cohort1_equilibrium
220,75,300,90,58,1000,0.058,cohort1_equilibrium
221,90,300,10,0,1000,0,cohort1_equilibrium
222,90,300,20,96,1000,0.096,cohort1_equilibrium
223,90,300,30,0,1000,0,cohort1_equilibrium
224,90,300,35,59,1000,0.059,cohort1_equilibrium
225,90,300,40,97,1000,0.097,cohort1_equilibrium
226,90,300,45,79,1000,0.079,cohort1_equilibrium
227,90,300,50,128,1000,0.128,cohort1_equilibrium
228,90,300,60,90,1000,0.09,cohort1_equilibrium
229,90,300,70,145,1000,0.145,cohort1_equilibrium
230,90,300,80,81,1000,0.081,cohort1_equilibrium
231,90,300,90,0,1000,0,cohort1_equilibrium
232,10,500,10,65,1000,0.065,cohort1_equilibrium
233,10,500,20,82,1000,0.082,cohort1_equilibrium
234,10,500,30,279,1000,0.279,cohort1_equilibrium
235,10,500,35,112,1000,0.112,cohort1_equilibrium
236,10,500,40,92,1000,0.092,cohort1_equilibrium
237,10,500,45,93,1000,0.093,cohort1_equilibrium
238,10,500,50,114,1000,0.114,cohort1_equilibrium
239,10,500,60,38,1000,0.038,cohort1_equilibrium
240,10,500,70,83,1000,0.083,cohort1_equilibrium
241,10,500,80,63,1000,0.063,cohort1_equilibrium
242,10,500,90,54,1000,0.054,cohort1_equilibrium
243,20,500,10,55,1000,0.055,cohort1_equilibrium
244,20,500,20,77,1000,0.077,cohort1_equilibrium
245,20,500,30,127,1000,0.127,cohort1_equilibrium
246,20,500,35,27,1000,0.027,cohort1_equilibrium
247,20,500,40,98,1000,0.098,cohort1_equilibrium
248,20,500,45,130,1000,0.13,cohort1_equilibrium
249,20,500,50,82,1000,0.082,cohort1_equilibrium
250,20,500,60,107,1000,0.107,cohort1_equilibrium
251,20,500,70,97,1000,0.097,cohort1_equilibrium
252,20,500,80,67,1000,0.067,cohort1_equilibrium
253,20,500,90,40,1000,0.04,cohort1_equilibrium
254,35,500,10,60,1000,0.06,cohort1_equilibrium
255,35,500,20,74,1000,0.074,cohort1_equilibrium
256,35,500,30,148,1000,0.148,cohort1_equilibrium
257,35,500,35,74,1000,0.074,cohort1_equilibrium
258,35,500,40,337,1000,0.337,cohort1_equilibrium
259,35,500,45,88,1000,0.088,cohort1_equilibrium
260,35,500,50,111,1000,0.111,cohort1_equilibrium
261,35,500,60,31,1000,0.031,cohort1_equilibrium
262,35,500,70,88,1000,0.088,cohort1_equilibrium
263,35,500,80,27,1000,0.027,cohort1_equilibrium
264,35,500,90,73,1000,0.073,cohort1_equilibrium
265,50,500,10,189,1000,0.189,cohort1_equilibrium
266,50,500,20,87,1000,0.087,cohort1_equilibrium
267,50,500,30,131,1000,0.131,cohort1_equilibrium
268,50,500,35,60,1000,0.06,cohort1_equilibrium
269,50,500,40,141,1000,0.141,cohort1_equilibrium
270,50,500,45,160,1000,0.16,cohort1_equilibrium
271,50,500,50,94,1000,0.094,cohort1_equilibrium
272,50,500,60,90,1000,0.09,cohort1_equilibrium
273,50,500,70,54,1000,0.054,cohort1_equilibrium
274,50,500,80,115,1000,0.115,cohort1_equilibrium
275,50,500,90,70,1000,0.07,cohort1_equilibrium
276,65,500,10,50,1000,0.05,cohort1_equilibrium
277,65,500,20,65,1000,0.065,cohort1_equilibrium
278,65,500,30,109,1000,0.109,cohort1_equilibrium
279,65,500,35,60,1000,0.06,cohort1_equilibrium
280,65,500,40,159,1000,0.159,cohort1_equilibrium
281,65,500,45,356,1000,0.356,cohort1_equilibrium
282,65,500,50,143,1000,0.143,cohort1_equilibrium
283,65,500,60,132,1000,0.132,cohort1_equilibrium
284,65,500,70,158,1000,0.158,cohort1_equilibrium
285,65,500,80,102,1000,0.102,cohort1_equilibrium
286,65,500,90,2,1000,0.002,cohort1_equilibrium
287,75,500,10,68,1000,0.068,cohort1_equilibrium
288,75,500,20,67,1000,0.067,cohort1_equilibrium
289,75,500,30,128,1000,0.128,cohort1_equilibrium
290,75,500,35,166,1000,0.166,cohort1_equilibrium
291,75,500,40,135,1000,0.135,cohort1_equilibrium
292,75,500,45,176,1000,0.176,cohort1_equilibrium
293,75,500,50,54,1000,0.054,cohort1_equilibrium
294,75,500,60,168,1000,0.168,cohort1_equilibrium
295,75,500,70,67,1000,0.067,cohort1_equilibrium
296,75,500,80,60,1000,0.06,cohort1_equilibrium
297,75,500,90,0,1000,0,cohort1_equilibrium
298,90,500,10,0,1000,0,cohort1_equilibrium
299,90,500,20,5,1000,0.005,cohort1_equilibrium
300,90,500,30,112,1000,0.112,cohort1_equilibrium
301,90,500,35,121,1000,0.121,cohort1_equilibrium
302,90,500,40,243,1000,0.243,cohort1_equilibrium
303,90,500,45,203,1000,0.203,cohort1_equilibrium
304,90,500,50,368,1000,0.368,cohort1_equilibrium
305,90,500,60,0,1000,0,cohort1_equilibrium
306,90,500,70,109,1000,0.109,cohort1_equilibrium
307,90,500,80,105,1000,0.105,cohort1_equilibrium
308,90,500,90,0,1000,0,cohort1_equilibrium
309,10,50,10,60,1000,0.06,cohort1_equilibrium
310,10,50,20,105,1000,0.105,cohort1_equilibrium
311,10,50,30,90,1000,0.09,cohort1_equilibrium
312,10,50,35,89,1000,0.089,cohort1_equilibrium
313,10,50,40,56,1000,0.056,cohort1_equilibrium
314,10,50,45,163,1000,0.163,cohort1_equilibrium
315,10,50,50,807,1000,0.807,cohort1_equilibrium
316,10,50,60,84,1000,0.084,cohort1_equilibrium
317,10,50,70,105,1000,0.105,cohort1_equilibrium
318,10,50,80,82,1000,0.082,cohort1_equilibrium
319,10,50,90,61,1000,0.061,cohort1_equilibrium
320,20,50,10,58,1000,0.058,cohort1_equilibrium
321,20,50,20,66,1000,0.066,cohort1_equilibrium
322,20,50,30,101,1000,0.101,cohort1_equilibrium
323,20,50,35,106,1000,0.106,cohort1_equilibrium
324,20,50,40,121,1000,0.121,cohort1_equilibrium
325,20,50,45,27,1000,0.027,cohort1_equilibrium
326,20,50,50,107,1000,0.107,cohort1_equilibrium
327,20,50,60,112,1000,0.112,cohort1_equilibrium
328,20,50,70,113,1000,0.113,cohort1_equilibrium
329,20,50,80,108,1000,0.108,cohort1_equilibrium
330,20,50,90,60,1000,0.06,cohort1_equilibrium
331,35,50,10,65,1000,0.065,cohort1_equilibrium
332,35,50,20,90,1000,0.09,cohort1_equilibrium
333,35,50,30,112,1000,0.112,cohort1_equilibrium
334,35,50,35,248,1000,0.248,cohort1_equilibrium
335,35,50,40,131,1000,0.131,cohort1_equilibrium
336,35,50,45,21,1000,0.021,cohort1_equilibrium
337,35,50,50,0,1000,0,cohort1_equilibrium
338,35,50,60,98,1000,0.098,cohort1_equilibrium
339,35,50,70,115,1000,0.115,cohort1_equilibrium
340,35,50,80,102,1000,0.102,cohort1_equilibrium
341,35,50,90,72,1000,0.072,cohort1_equilibrium
342,50,50,10,0,1000,0,cohort1_equilibrium
343,50,50,20,0,1000,0,cohort1_equilibrium
344,50,50,30,104,1000,0.104,cohort1_equilibrium
345,50,50,35,104,1000,0.104,cohort1_equilibrium
346,50,50,40,116,1000,0.116,cohort1_equilibrium
347,50,50,45,64,1000,0.064,cohort1_equilibrium
348,50,50,50,0,1000,0,cohort1_equilibrium
349,50,50,60,112,1000,0.112,cohort1_equilibrium
350,50,50,70,27,1000,0.027,cohort1_equilibrium
351,50,50,80,143,1000,0.143,cohort1_equilibrium
352,50,50,90,54,1000,0.054,cohort1_equilibrium
353,65,50,10,48,1000,0.048,cohort1_equilibrium
354,65,50,20,183,1000,0.183,cohort1_equilibrium
355,65,50,30,54,1000,0.054,cohort1_equilibrium
356,65,50,35,70,1000,0.07,cohort1_equilibrium
357,65,50,40,14,1000,0.014,cohort1_equilibrium
358,65,50,45,296,1000,0.296,cohort1_equilibrium
359,65,50,50,29,1000,0.029,cohort1_equilibrium
360,65,50,60,53,1000,0.053,cohort1_equilibrium
361,65,50,70,96,1000,0.096,cohort1_equilibrium
362,65,50,80,91,1000,0.091,cohort1_equilibrium
363,65,50,90,29,1000,0.029,cohort1_equilibrium
364,75,50,10,45,1000,0.045,cohort1_equilibrium
365,75,50,20,156,1000,0.156,cohort1_equilibrium
366,75,50,30,64,1000,0.064,cohort1_equilibrium
367,75,50,35,373,1000,0.373,cohort1_equilibrium
368,75,50,40,383,1000,0.383,cohort1_equilibrium
369,75,50,45,152,1000,0.152,cohort1_equilibrium
370,75,50,50,109,1000,0.109,cohort1_equilibrium
371,75,50,60,558,1000,0.558,cohort1_equilibrium
372,75,50,70,74,1000,0.074,cohort1_equilibrium
373,75,50,80,106,1000,0.106,cohort1_equilibrium
374,75,50,90,0,1000,0,cohort1_equilibrium
375,90,50,10,0,1000,0,cohort1_equilibrium
376,90,50,20,0,1000,0,cohort1_equilibrium
377,90,50,30,90,1000,0.09,cohort1_equilibrium
378,90,50,35,0,1000,0,cohort1_equilibrium
379,90,50,40,524,1000,0.524,cohort1_equilibrium
380,90,50,45,334,1000,0.334,cohort1_equilibrium
381,90,50,50,87,1000,0.087,cohort1_equilibrium
382,90,50,60,94,1000,0.094,cohort1_equilibrium
383,90,50,70,1,1000,0.001,cohort1_equilibrium
384,90,50,80,1,1000,0.001,cohort1_equilibrium
385,90,50,90,0,1000,0,cohort1_equilibrium
386,10,150,10,66,1000,0.066,cohort1_equilibrium
387,10,150,20,69,1000,0.069,cohort1_equilibrium
388,10,150,30,96,1000,0.096,cohort1_equilibrium
389,10,150,35,292,1000,0.292,cohort1_equilibrium
390,10,150,40,342,1000,0.342,cohort1_equilibrium
391,10,150,45,127,1000,0.127,cohort1_equilibrium
392,10,150,50,194,1000,0.194,cohort1_equilibrium
393,10,150,60,128,1000,0.128,cohort1_equilibrium
394,10,150,70,149,1000,0.149,cohort1_equilibrium
395,10,150,80,75,1000,0.075,cohort1_equilibrium
396,10,150,90,52,1000,0.052,cohort1_equilibrium
397,20,150,10,54,1000,0.054,cohort1_equilibrium
398,20,150,20,72,1000,0.072,cohort1_equilibrium
399,20,150,30,91,1000,0.091,cohort1_equilibrium
400,20,150,35,201,1000,0.201,cohort1_equilibrium
401,20,150,40,105,1000,0.105,cohort1_equilibrium
402,20,150,45,116,1000,0.116,cohort1_equilibrium
403,20,150,50,132,1000,0.132,cohort1_equilibrium
404,20,150,60,389,1000,0.389,cohort1_equilibrium
405,20,150,70,84,1000,0.084,cohort1_equilibrium
406,20,150,80,74,1000,0.074,cohort1_equilibrium
407,20,150,90,51,1000,0.051,cohort1_equilibrium
408,35,150,10,91,1000,0.091,cohort1_equilibrium
409,35,150,20,82,1000,0.082,cohort1_equilibrium
410,35,150,30,103,1000,0.103,cohort1_equilibrium
411,35,150,35,112,1000,0.112,cohort1_equilibrium
412,35,150,40,42,1000,0.042,cohort1_equilibrium
413,35,150,45,797,1000,0.797,cohort1_equilibrium
414,35,150,50,28,1000,0.028,cohort1_equilibrium
415,35,150,60,428,1000,0.428,cohort1_equilibrium
416,35,150,70,18,1000,0.018,cohort1_equilibrium
417,35,150,80,67,1000,0.067,cohort1_equilibrium
418,35,150,90,71,1000,0.071,cohort1_equilibrium
419,50,150,10,0,1000,0,cohort1_equilibrium
420,50,150,20,57,1000,0.057,cohort1_equilibrium
421,50,150,30,122,1000,0.122,cohort1_equilibrium
422,50,150,35,133,1000,0.133,cohort1_equilibrium
423,50,150,40,263,1000,0.263,cohort1_equilibrium
424,50,150,45,166,1000,0.166,cohort1_equilibrium
425,50,150,50,110,1000,0.11,cohort1_equilibrium
426,50,150,60,18,1000,0.018,cohort1_equilibrium
427,50,150,70,80,1000,0.08,cohort1_equilibrium
428,50,150,80,73,1000,0.073,cohort1_equilibrium
429,50,150,90,71,1000,0.071,cohort1_equilibrium
430,65,150,10,101,1000,0.101,cohort1_equilibrium
431,65,150,20,106,1000,0.106,cohort1_equilibrium
432,65,150,30,88,1000,0.088,cohort1_equilibrium
433,65,150,35,338,1000,0.338,cohort1_equilibrium
434,65,150,40,71,1000,0.071,cohort1_equilibrium
435,65,150,45,145,1000,0.145,cohort1_equilibrium
436,65,150,50,33,1000,0.033,cohort1_equilibrium
437,65,150,60,94,1000,0.094,cohort1_equilibrium
438,65,150,70,116,1000,0.116,cohort1_equilibrium
439,65,150,80,40,1000,0.04,cohort1_equilibrium
440,65,150,90,48,1000,0.048,cohort1_equilibrium
441,75,150,10,63,1000,0.063,cohort1_equilibrium
