run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
1,10,50,10,56,1000,0.056
2,10,50,20,71,1000,0.071
3,10,50,30,135,1000,0.135
4,10,50,35,136,1000,0.136
5,10,50,40,557,1000,0.557
6,10,50,45,399,1000,0.399
7,10,50,50,79,1000,0.079
8,10,50,60,102,1000,0.102
9,10,50,70,104,1000,0.104
10,10,50,80,68,1000,0.068
11,10,50,90,45,1000,0.045
12,20,50,10,66,1000,0.066
13,20,50,20,87,1000,0.087
14,20,50,30,150,1000,0.15
15,20,50,35,109,1000,0.109
16,20,50,40,119,1000,0.119
17,20,50,45,165,1000,0.165
18,20,50,50,112,1000,0.112
19,20,50,60,241,1000,0.241
20,20,50,70,116,1000,0.116
21,20,50,80,70,1000,0.07
22,20,50,90,62,1000,0.062
23,35,50,10,67,1000,0.067
24,35,50,20,146,1000,0.146
25,35,50,30,388,1000,0.388
26,35,50,35,133,1000,0.133
27,35,50,40,27,1000,0.027
28,35,50,45,114,1000,0.114
29,35,50,50,725,1000,0.725
30,35,50,60,85,1000,0.085
31,35,50,70,56,1000,0.056
32,35,50,80,76,1000,0.076
33,35,50,90,64,1000,0.064
34,50,50,10,58,1000,0.058
35,50,50,20,80,1000,0.08
36,50,50,30,189,1000,0.189
37,50,50,35,142,1000,0.142
38,50,50,40,50,1000,0.05
39,50,50,45,155,1000,0.155
40,50,50,50,154,1000,0.154
41,50,50,60,161,1000,0.161
42,50,50,70,93,1000,0.093
43,50,50,80,67,1000,0.067
44,50,50,90,56,1000,0.056
45,65,50,10,47,1000,0.047
46,65,50,20,90,1000,0.09
47,65,50,30,109,1000,0.109
48,65,50,35,94,1000,0.094
49,65,50,40,98,1000,0.098
50,65,50,45,226,1000,0.226
51,65,50,50,155,1000,0.155
52,65,50,60,115,1000,0.115
53,65,50,70,102,1000,0.102
54,65,50,80,71,1000,0.071
55,65,50,90,43,1000,0.043
56,75,50,10,63,1000,0.063
57,75,50,20,106,1000,0.106
58,75,50,30,87,1000,0.087
59,75,50,35,151,1000,0.151
60,75,50,40,130,1000,0.13
61,75,50,45,109,1000,0.109
62,75,50,50,276,1000,0.276
63,75,50,60,160,1000,0.16
64,75,50,70,284,1000,0.284
65,75,50,80,94,1000,0.094
66,75,50,90,52,1000,0.052
67,90,50,10,63,1000,0.063
68,90,50,20,122,1000,0.122
69,90,50,30,90,1000,0.09
70,90,50,35,119,1000,0.119
71,90,50,40,85,1000,0.085
72,90,50,45,151,1000,0.151
73,90,50,50,120,1000,0.12
74,90,50,60,0,1000,0
75,90,50,70,116,1000,0.116
76,90,50,80,81,1000,0.081
77,90,50,90,60,1000,0.06
78,10,150,10,51,1000,0.051
79,10,150,20,153,1000,0.153
80,10,150,30,55,1000,0.055
81,10,150,35,155,1000,0.155
82,10,150,40,147,1000,0.147
83,10,150,45,116,1000,0.116
84,10,150,50,124,1000,0.124
85,10,150,60,139,1000,0.139
86,10,150,70,95,1000,0.095
87,10,150,80,68,1000,0.068
88,10,150,90,62,1000,0.062
89,20,150,10,72,1000,0.072
90,20,150,20,90,1000,0.09
91,20,150,30,113,1000,0.113
92,20,150,35,132,1000,0.132
93,20,150,40,309,1000,0.309
94,20,150,45,108,1000,0.108
95,20,150,50,903,1000,0.903
96,20,150,60,155,1000,0.155
97,20,150,70,157,1000,0.157
98,20,150,80,110,1000,0.11
99,20,150,90,95,1000,0.095
100,35,150,10,57,1000,0.057
101,35,150,20,84,1000,0.084
102,35,150,30,98,1000,0.098
103,35,150,35,52,1000,0.052
104,35,150,40,48,1000,0.048
105,35,150,45,283,1000,0.283
106,35,150,50,173,1000,0.173
107,35,150,60,114,1000,0.114
108,35,150,70,122,1000,0.122
109,35,150,80,75,1000,0.075
110,35,150,90,80,1000,0.08
111,50,150,10,45,1000,0.045
112,50,150,20,115,1000,0.115
113,50,150,30,96,1000,0.096
114,50,150,35,140,1000,0.14
115,50,150,40,142,1000,0.142
116,50,150,45,157,1000,0.157
117,50,150,50,17,1000,0.017
118,50,150,60,165,1000,0.165
119,50,150,70,117,1000,0.117
120,50,150,80,57,1000,0.057
121,50,150,90,68,1000,0.068
122,65,150,10,67,1000,0.067
123,65,150,20,103,1000,0.103
124,65,150,30,102,1000,0.102
125,65,150,35,97,1000,0.097
126,65,150,40,140,1000,0.14
127,65,150,45,57,1000,0.057
128,65,150,50,118,1000,0.118
129,65,150,60,112,1000,0.112
130,65,150,70,104,1000,0.104
131,65,150,80,100,1000,0.1
132,65,150,90,61,1000,0.061
133,75,150,10,64,1000,0.064
134,75,150,20,91,1000,0.091
135,75,150,30,95,1000,0.095
136,75,150,35,226,1000,0.226
137,75,150,40,218,1000,0.218
138,75,150,45,79,1000,0.079
139,75,150,50,105,1000,0.105
140,75,150,60,136,1000,0.136
141,75,150,70,89,1000,0.089
142,75,150,80,94,1000,0.094
143,75,150,90,146,1000,0.146
144,90,150,10,63,1000,0.063
145,90,150,20,100,1000,0.1
146,90,150,30,452,1000,0.452
147,90,150,35,93,1000,0.093
148,90,150,40,139,1000,0.139
