c1_percent_grammar_1,c2_percent_grammar_1,type,final_state
20,10,"Cohort 1
mean",0.00735716395680583
20,10,"Cohort 2
mean",0.00771026227574538
20,10,"Overall
mean",0.00753371311627561
10,10,"Cohort 1
mean",0.00870326134248586
10,10,"Cohort 2
mean",0.00699953853755703
10,10,"Overall
mean",0.00785139994002144
40,10,"Cohort 1
mean",0.09871065384729091
40,10,"Cohort 2
mean",0.08840299632357053
40,10,"Overall
mean",0.0935568250854307
50,10,"Cohort 1
mean",0.00555206279786839
50,10,"Cohort 2
mean",0.0062698296113002
50,10,"Overall
mean",0.0059109462045843
60,10,"Cohort 1
mean",0.14015417832647414
60,10,"Cohort 2
mean",0.07372843603920239
60,10,"Overall
mean",0.1069413071828383
80,10,"Cohort 1
mean",0.8488202506804553
80,10,"Cohort 2
mean",0.6608634335080248
80,10,"Overall
mean",0.7548418420942399
90,10,"Cohort 1
mean",0.8267598275126776
90,10,"Cohort 2
mean",0.5931800254208837
90,10,"Overall
mean",0.7099699264667806
10,10,"Cohort 1
mean",0.00745497343890662
10,10,"Cohort 2
mean",0.00707067323656422
10,10,"Overall
mean",0.00726282333773542
20,10,"Cohort 1
mean",0.00512283298707073
20,10,"Cohort 2
mean",0.00843841627384776
20,10,"Overall
mean",0.00678062463045924
40,10,"Cohort 1
mean",0.0078169971858509
40,10,"Cohort 2
mean",0.00639477520801673
40,10,"Overall
mean",0.00710588619693381
50,10,"Cohort 1
mean",0.01160879621819605
50,10,"Cohort 2
mean",0.00453756701929949
50,10,"Overall
mean",0.00807318161874777
60,10,"Cohort 1
mean",0.00786031775358218
60,10,"Cohort 2
mean",0.00550394213499503
60,10,"Overall
mean",0.0066821299442886
80,10,"Cohort 1
mean",0.00628540924171824
80,10,"Cohort 2
mean",0.00600003241763395
80,10,"Overall
mean",0.0061427208296761
90,10,"Cohort 1
mean",0.19960371487872003
90,10,"Cohort 2
mean",0.15978093579719105
90,10,"Overall
mean",0.17969232533795557
10,10,"Cohort 1
mean",0.00592775355227798
10,10,"Cohort 2
mean",0.00710170637101833
10,10,"Overall
mean",0.00651472996164815
20,10,"Cohort 1
mean",0.00681093806236095
20,10,"Cohort 2
mean",0.00940599925043333
20,10,"Overall
mean",0.00810846865639714
40,10,"Cohort 1
mean",0.00482678019344028
40,10,"Cohort 2
mean",0.00538241199987542
40,10,"Overall
mean",0.0051045960966578504
50,10,"Cohort 1
mean",0.00629940176185829
50,10,"Cohort 2
mean",0.00598868688836196
50,10,"Overall
mean",0.00614404432511012
60,10,"Cohort 1
mean",0.24735348799631107
60,10,"Cohort 2
mean",0.06436091248394851
60,10,"Overall
mean",0.15585720024012983
80,10,"Cohort 1
mean",0.00814357122166436
80,10,"Cohort 2
mean",0.0086849991657218
80,10,"Overall
mean",0.00841428519369308
90,10,"Cohort 1
mean",0.4342481529893011
90,10,"Cohort 2
mean",0.24700826463737163
90,10,"Overall
mean",0.34062820881333644
10,10,"Cohort 1
mean",0.00682521461718964
10,10,"Cohort 2
mean",0.00916951201434164
10,10,"Overall
mean",0.00799736331576564
20,10,"Cohort 1
mean",0.00977691253545596
20,10,"Cohort 2
mean",0.00937711228204643
20,10,"Overall
mean",0.00957701240875119
40,10,"Cohort 1
mean",0.00747229890675896
40,10,"Cohort 2
mean",0.00709588691754099
40,10,"Overall
mean",0.00728409291214997
50,10,"Cohort 1
mean",0.0031522818538016
50,10,"Cohort 2
mean",0.00700388016919275
50,10,"Overall
mean",0.00507808101149718
60,10,"Cohort 1
mean",0.5343256970720576
60,10,"Cohort 2
mean",0.372527919111613
60,10,"Overall
mean",0.4534268080918353
80,10,"Cohort 1
mean",0.7056525589295697
80,10,"Cohort 2
mean",0.45858410337452626
80,10,"Overall
mean",0.582118331152048
90,10,"Cohort 1
mean",0.262573913526233
90,10,"Cohort 2
mean",0.06450089735027756
90,10,"Overall
mean",0.1635374054382553
