run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,perseverance,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
1,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00549972031722563
6,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.14961747258930588
5,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.3906873514096923
8,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5661976178257959
10,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9925314271618266
3,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00839719184251861
2,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00841844183592331
9,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9467479367942696
7,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1425371097809373
4,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.05595105584134667
12,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00408185036011464
13,0,TRUE,0.3,TRUE,reward,40,20,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00602393325713701
11,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,FALSE,0.01,decreases,0.25,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9931032910919813
14,0,TRUE,0.3,TRUE,reward,40,30,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00696319161651482
15,0,TRUE,0.3,TRUE,reward,40,35,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00506076206741274
19,0,TRUE,0.3,TRUE,reward,40,60,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9942118871032428
17,0,TRUE,0.3,TRUE,reward,40,45,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.5053378310849916
20,0,TRUE,0.3,TRUE,reward,40,70,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9922906802860528
16,0,TRUE,0.3,TRUE,reward,40,40,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0934968940826218
18,0,TRUE,0.3,TRUE,reward,40,50,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4966945030008611
21,0,TRUE,0.3,TRUE,reward,40,80,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9916451838417136
22,0,TRUE,0.3,TRUE,reward,40,90,1000,0.01,FALSE,0.01,decreases,0.5,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9942934833575348
23,0,TRUE,0.3,TRUE,reward,40,10,1000,0.01,FALSE,0.01,decreases,1,TRUE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00757595673441562
