run_number,perseverance,eq_step,max_steps,eq_percent
1,0.25,164,1000,0.164
2,0.25,195,1000,0.195
3,0.25,207,1000,0.207
4,0.25,206,1000,0.206
5,0.25,0,1000,0
6,0.25,248,1000,0.248
7,0.25,288,1000,0.288
8,0.25,70,1000,0.07
9,0.25,197,1000,0.197
10,0.25,154,1000,0.154
11,0.25,84,1000,0.084
12,0.5,60,1000,0.06
13,0.5,127,1000,0.127
14,0.5,106,1000,0.106
15,0.5,136,1000,0.136
16,0.5,126,1000,0.126
17,0.5,96,1000,0.096
18,0.5,0,1000,0
19,0.5,240,1000,0.24
20,0.5,110,1000,0.11
21,0.5,89,1000,0.089
22,0.5,56,1000,0.056
23,1,47,1000,0.047
24,1,78,1000,0.078
25,1,741,1000,0.741
26,1,122,1000,0.122
27,1,188,1000,0.188
28,1,144,1000,0.144
29,1,67,1000,0.067
30,1,132,1000,0.132
31,1,98,1000,0.098
32,1,92,1000,0.092
33,1,58,1000,0.058
34,2,51,1000,0.051
35,2,156,1000,0.156
36,2,112,1000,0.112
37,2,155,1000,0.155
38,2,98,1000,0.098
39,2,80,1000,0.08
40,2,94,1000,0.094
41,2,126,1000,0.126
42,2,89,1000,0.089
43,2,73,1000,0.073
44,2,68,1000,0.068
45,3,62,1000,0.062
46,3,80,1000,0.08
47,3,53,1000,0.053
48,3,48,1000,0.048
49,3,197,1000,0.197
50,3,137,1000,0.137
51,3,125,1000,0.125
52,3,90,1000,0.09
53,3,105,1000,0.105
54,3,87,1000,0.087
55,3,44,1000,0.044
56,0.25,175,1000,0.175
57,0.25,148,1000,0.148
58,0.25,583,1000,0.583
59,0.25,98,1000,0.098
60,0.25,24,1000,0.024
61,0.25,113,1000,0.113
62,0.25,486,1000,0.486
63,0.25,30,1000,0.03
64,0.25,172,1000,0.172
65,0.25,130,1000,0.13
66,0.25,99,1000,0.099
67,0.5,66,1000,0.066
68,0.5,107,1000,0.107
69,0.5,118,1000,0.118
70,0.5,139,1000,0.139
71,0.5,511,1000,0.511
72,0.5,59,1000,0.059
73,0.5,592,1000,0.592
74,0.5,114,1000,0.114
75,0.5,125,1000,0.125
76,0.5,102,1000,0.102
77,0.5,66,1000,0.066
78,1,49,1000,0.049
79,1,83,1000,0.083
80,1,90,1000,0.09
81,1,68,1000,0.068
82,1,179,1000,0.179
83,1,82,1000,0.082
84,1,134,1000,0.134
85,1,148,1000,0.148
86,1,103,1000,0.103
87,1,99,1000,0.099
88,1,60,1000,0.06
89,2,55,1000,0.055
90,2,88,1000,0.088
91,2,88,1000,0.088
92,2,118,1000,0.118
93,2,863,1000,0.863
94,2,368,1000,0.368
95,2,805,1000,0.805
96,2,103,1000,0.103
97,2,86,1000,0.086
98,2,108,1000,0.108
99,2,55,1000,0.055
100,3,66,1000,0.066
101,3,76,1000,0.076
102,3,126,1000,0.126
103,3,162,1000,0.162
104,3,124,1000,0.124
105,3,141,1000,0.141
106,3,156,1000,0.156
