chance_listen_to_outgroup,percent_grammar_1,type,final_state
0.1,30,Cohort 1 mean,0.01415767319353295
0.1,30,Cohort 2 mean,0.05187015871473856
0.1,30,Overall mean,0.02358579457383435
0.1,45,Cohort 1 mean,0.8997709059341787
0.1,45,Cohort 2 mean,0.8246818820816451
0.1,45,Overall mean,0.8809986499710453
0.1,70,Cohort 1 mean,0.9887519999697676
0.1,70,Cohort 2 mean,0.9283626256209456
0.1,70,Overall mean,0.9736546563825624
0.1,40,Cohort 1 mean,0.1428287741097733
0.1,40,Cohort 2 mean,0.06679240025245634
0.1,40,Overall mean,0.12381968064544405
0.1,80,Cohort 1 mean,0.9908582817701388
0.1,80,Cohort 2 mean,0.95223347720172
0.1,80,Overall mean,0.9812020806280336
0.1,50,Cohort 1 mean,0.2468778072462925
0.1,50,Cohort 2 mean,0.3280620267021809
0.1,50,Overall mean,0.2671738621102646
0.1,20,Cohort 1 mean,0.08098101243290264
0.1,20,Cohort 2 mean,0.00813840832011356
0.1,20,Overall mean,0.06277036140470538
0.1,35,Cohort 1 mean,0.08803177124514064
0.1,35,Cohort 2 mean,0.07804191086325987
0.1,35,Overall mean,0.08553430614967046
0.1,60,Cohort 1 mean,0.8017383622977856
0.1,60,Cohort 2 mean,0.7784086942848051
0.1,60,Overall mean,0.7959059452945405
0.1,10,Cohort 1 mean,0.01595208011050627
0.1,10,Cohort 2 mean,0.01590462637228085
0.1,10,Overall mean,0.01594021667594991
0.1,10,Cohort 1 mean,0.1038389345667389
0.1,10,Cohort 2 mean,0.10514631436958093
0.1,10,Overall mean,0.10449262446815992
0.1,30,Cohort 1 mean,0.01914004071708287
0.1,30,Cohort 2 mean,0.1491704894813491
0.1,30,Overall mean,0.08415526509921599
0.1,35,Cohort 1 mean,0.12415340308839956
0.1,35,Cohort 2 mean,0.0501966223662629
0.1,35,Overall mean,0.08717501272733123
0.1,40,Cohort 1 mean,0.20560868870630347
0.1,40,Cohort 2 mean,0.5756924303845768
0.1,40,Overall mean,0.39065055954544015
0.1,90,Cohort 1 mean,0.9863561936553844
0.1,90,Cohort 2 mean,0.9962941211461076
0.1,90,Overall mean,0.9888406755280652
0.1,20,Cohort 1 mean,0.05686983266221458
0.1,20,Cohort 2 mean,0.08936016404728686
0.1,20,Overall mean,0.07311499835475072
0.1,50,Cohort 1 mean,0.594544191316587
0.1,50,Cohort 2 mean,0.49473051735495976
0.1,50,Overall mean,0.5446373543357733
0.1,60,Cohort 1 mean,0.6887044194238514
0.1,60,Cohort 2 mean,0.9381128525082738
0.1,60,Overall mean,0.8134086359660626
0.1,45,Cohort 1 mean,0.4360547980879244
0.1,45,Cohort 2 mean,0.19995178619264897
0.1,45,Overall mean,0.31800329214028666
0.1,70,Cohort 1 mean,0.8362135072709004
0.1,70,Cohort 2 mean,0.9821571057298016
0.1,70,Overall mean,0.9091853065003508
0.1,20,Cohort 1 mean,0.02843076557803479
0.1,20,Cohort 2 mean,0.02222059253537826
0.1,20,Overall mean,0.02377313579604239
0.1,80,Cohort 1 mean,0.96767169079654
0.1,80,Cohort 2 mean,0.9540818116440212
0.1,80,Overall mean,0.9608767512202804
0.1,35,Cohort 1 mean,0.2809902364980196
0.1,35,Cohort 2 mean,0.23550824256000663
0.1,35,Overall mean,0.24687874104450985
0.1,30,Cohort 1 mean,0.19459303005962675
0.1,30,Cohort 2 mean,0.1129205707048516
0.1,30,Overall mean,0.13333868554354536
0.1,10,Cohort 1 mean,0.02555903360198309
0.1,10,Cohort 2 mean,0.01191200355624363
0.1,10,Overall mean,0.01532376106767849
0.1,90,Cohort 1 mean,0.99275353404048
0.1,90,Cohort 2 mean,0.984610557552934
0.1,90,Overall mean,0.9886820457967072
0.1,40,Cohort 1 mean,0.05049877607671789
